FID,cd_recorte,quadro,cd_mun,nm_mun,id
qg_2022_030_munic.2,03011100023,030,1100023,Ariquemes,2
qg_2022_030_munic.3,03011100031,030,1100031,Cabixi,3
qg_2022_030_munic.4,03011100049,030,1100049,Cacoal,4
qg_2022_030_munic.5,03011100056,030,1100056,Cerejeiras,5
qg_2022_030_munic.1,03011100015,030,1100015,Alta Floresta D'Oeste,1
qg_2022_030_munic.6,03011100064,030,1100064,Colorado do Oeste,6
qg_2022_030_munic.7,03011100072,030,1100072,Corumbiara,7
qg_2022_030_munic.8,03011100080,030,1100080,Costa Marques,8
qg_2022_030_munic.9,03011100098,030,1100098,Espigão D'Oeste,9
qg_2022_030_munic.10,03011100106,030,1100106,Guajará-Mirim,10
qg_2022_030_munic.11,03011100114,030,1100114,Jaru,11
qg_2022_030_munic.12,03011100122,030,1100122,Ji-Paraná,12
qg_2022_030_munic.13,03011100130,030,1100130,Machadinho D'Oeste,13
qg_2022_030_munic.14,03011100148,030,1100148,Nova Brasilândia D'Oeste,14
qg_2022_030_munic.15,03011100155,030,1100155,Ouro Preto do Oeste,15
qg_2022_030_munic.16,03011100189,030,1100189,Pimenta Bueno,16
qg_2022_030_munic.17,03011100205,030,1100205,Porto Velho,17
qg_2022_030_munic.18,03011100254,030,1100254,Presidente Médici,18
qg_2022_030_munic.19,03011100262,030,1100262,Rio Crespo,19
qg_2022_030_munic.20,03011100288,030,1100288,Rolim de Moura,20
qg_2022_030_munic.21,03011100296,030,1100296,Santa Luzia D'Oeste,21
qg_2022_030_munic.22,03011100304,030,1100304,Vilhena,22
qg_2022_030_munic.23,03011100320,030,1100320,São Miguel do Guaporé,23
qg_2022_030_munic.24,03011100338,030,1100338,Nova Mamoré,24
qg_2022_030_munic.25,03011100346,030,1100346,Alvorada D'Oeste,25
qg_2022_030_munic.26,03011100379,030,1100379,Alto Alegre dos Parecis,26
qg_2022_030_munic.27,03011100403,030,1100403,Alto Paraíso,27
qg_2022_030_munic.28,03011100452,030,1100452,Buritis,28
qg_2022_030_munic.29,03011100502,030,1100502,Novo Horizonte do Oeste,29
qg_2022_030_munic.30,03011100601,030,1100601,Cacaulândia,30
qg_2022_030_munic.31,03011100700,030,1100700,Campo Novo de Rondônia,31
qg_2022_030_munic.32,03011100809,030,1100809,Candeias do Jamari,32
qg_2022_030_munic.33,03011100908,030,1100908,Castanheiras,33
qg_2022_030_munic.34,03011100924,030,1100924,Chupinguaia,34
qg_2022_030_munic.35,03011100940,030,1100940,Cujubim,35
qg_2022_030_munic.36,03011101005,030,1101005,Governador Jorge Teixeira,36
qg_2022_030_munic.37,03011101104,030,1101104,Itapuã do Oeste,37
qg_2022_030_munic.38,03011101203,030,1101203,Ministro Andreazza,38
qg_2022_030_munic.39,03011101302,030,1101302,Mirante da Serra,39
qg_2022_030_munic.40,03011101401,030,1101401,Monte Negro,40
qg_2022_030_munic.41,03011101435,030,1101435,Nova União,41
qg_2022_030_munic.42,03011101450,030,1101450,Parecis,42
qg_2022_030_munic.43,03011101468,030,1101468,Pimenteiras do Oeste,43
qg_2022_030_munic.44,03011101476,030,1101476,Primavera de Rondônia,44
qg_2022_030_munic.45,03011101484,030,1101484,São Felipe D'Oeste,45
qg_2022_030_munic.46,03011101492,030,1101492,São Francisco do Guaporé,46
qg_2022_030_munic.47,03011101500,030,1101500,Seringueiras,47
qg_2022_030_munic.48,03011101559,030,1101559,Teixeirópolis,48
qg_2022_030_munic.49,03011101609,030,1101609,Theobroma,49
qg_2022_030_munic.50,03011101708,030,1101708,Urupá,50
qg_2022_030_munic.51,03011101757,030,1101757,Vale do Anari,51
qg_2022_030_munic.52,03011101807,030,1101807,Vale do Paraíso,52
qg_2022_030_munic.53,03011200013,030,1200013,Acrelândia,53
qg_2022_030_munic.54,03011200054,030,1200054,Assis Brasil,54
